Ukprn,Name,ApplicationType,StartDate,Status,ApplicationDeterminedDate
10088248,ACCXEL LIMITED,Main provider,23/10/2024,,24/09/2024
10004720,LEARNMORE SKILLS LTD,Main provider,13/03/2017,,07/10/2022
10005642,KLEEK APPRENTICESHIPS LIMITED T/A Kleek Apprenticeships Limited,Main provider,13/03/2017,,31/05/2022
10006299,UNIVERSITY OF STAFFORDSHIRE,Main provider,13/03/2017,,31/03/2022
10067871,GOODWIN ENGINEERING TRAINING COMPANY LIMITED,Employer provider,09/10/2019,Not Currently Starting New Apprentices,14/09/2022
10001733,SUPPLY CHAIN ACADEMY LIMITED,Main provider,29/05/2020,,31/05/2022
10063214,DISCOVERY RECRUITMENT LIMITED T/A Discovery,Main provider,30/01/2018,Not Currently Starting New Apprentices,29/06/2022
10059069,IMPACT MULTI ACADEMY TRUST T/A LANGLEY PARK LEARNING TRUST (Academy Trust),Main provider,27/09/2024,,27/08/2024
10096016,PUREPAY RETAIL LIMITED T/A Bon Marche Edinburgh Woollen Mill,Main provider,27/09/2024,,27/08/2024
10064228,LEARNING ACADEMIES TRUST T/A Learning Academies Trust (Academy Trust),Employer provider,27/09/2024,,27/08/2024
10096106,CAMBRIDGESHIRE & PETERBOROUGH FIRE AUTHORITY T/A Cambridgeshire Fire & Rescue Service,Supporting provider,24/09/2024,,24/09/2024
10056801,METRO BANK PLC T/A Metro Bank,Employer provider,26/06/2020,Not Currently Starting New Apprentices,28/07/2022
10083267,COMPASS SKILLS TRAINING LIMITED T/A Compass,Main provider,03/09/2020,Not Currently Starting New Apprentices,18/10/2022
10058030,THE CODERS GUILD LTD T/A The Coders Guild,Main provider,20/01/2020,,27/09/2022
10055739,DELTA ACADEMIES TRUST T/A Delta Academies Trust (Academy Trust),Main provider,20/09/2024,,27/08/2024
10001478,"CITY ST GEORGE'S, UNIVERSITY OF LONDON",Main provider,13/03/2017,,31/03/2022
10007193,"HRUC (HARROW, RICHMOND AND UXBRIDGE COLLEGES) T/A HRUC (Harrow, Richmond & Uxbridge College)",Main provider,13/03/2017,,28/04/2022
10033736,LIFT SCHOOLS,Main provider,17/05/2017,,26/01/2022
10000238,ALLIANCE LEARNING,Main provider,13/03/2017,,31/03/2022
10053216,MATRIX ACADEMY TRUST T/A Barr Beacon School,Main provider,06/09/2024,,29/07/2024
10065400,WOW HAIR ACADEMY LIMITED,Main provider,06/12/2019,Not Currently Starting New Apprentices,31/05/2022
10024474,BRIDGEWAY CONSULTING LIMITED,Employer provider,30/01/2018,Not Currently Starting New Apprentices,28/07/2022
10026420,ROAD HAULAGE ASSOCIATION LIMITED T/A RHA,Supporting provider,31/01/2020,,30/08/2022
10032896,KNIGHTS TRAINING ACADEMY LIMITED,Main provider,13/03/2017,Not Currently Starting New Apprentices,29/06/2022
10019914,EDEN COLLEGE OF HUMAN RESOURCE DEVELOPMENT AND MANAGEMENT STUDIES LIMITED,Main provider,13/03/2017,Not Currently Starting New Apprentices,26/01/2022
10030305,SCHOOL OF COMMUNICATION ARTS 2.0 LIMITED,Supporting provider,13/10/2023,,31/08/2023
10003196,HUGHES DRIVER TRAINING LIMITED,Supporting provider,21/01/2022,,30/08/2022
10002634,GAS LOGIC LIMITED T/A Logic4training,Main provider,30/08/2024,,26/06/2024
